"Save and Continue Edit","Save and Continue Edit"
"Save Page","Save Page"
"Data Privacy Settings","Data Privacy Settings"
"Enable Revisions","Enable Revisions"
"Document Version","Document Version"
"If enabled, this option will display popup notification to all customers upon successful login. This is useful when asking customers to agree to the updated version of the ""Privacy Policy"", TOS, Cookie Policy or any other agreement.","If enabled, this option will display popup notification to all customers upon successful login. This is useful when asking customers to agree to the updated version of the ""Privacy Policy"", TOS, Cookie Policy or any other agreement."
"Notify All Customers via Popup","Notify All Customers via Popup"
"No Revisions Found","No Revisions Found"
"Version","Version"
"Date Last Modified","Date Last Modified"
"Updated By","Updated By"
"Action","Action"
"View Revision","View Revision"
"Block %1 not found.","Block %1 not found."
"Consent Location","Consent Location"
"Checkbox Label","Checkbox Label"
"Link to CMS Page","Link to CMS Page"
"Required","Required"
"+ Add New","+ Add New"
"Add checkboxes (such as ""I agree to the Privacy Policy"" or ""I agree to the TOS"") in multiple locations of your store. You can also add consent checkboxes manually using our <a target=""_blank"" href=""%1"">developer's guide</a>.","Add checkboxes (such as ""I agree to the Privacy Policy"" or ""I agree to the TOS"") in multiple locations of your store. You can also add consent checkboxes manually using our <a target=""_blank"" href=""%1"">developer's guide</a>."
"All customers who agreed to these policies can be tracked via <a target=""_blank"" href=""%1"">consent log</a>.","All customers who agreed to these policies can be tracked via <a target=""_blank"" href=""%1"">consent log</a>."
"Delete","Delete"
"Please correct the column format and try again.","Please correct the column format and try again."
"Container Field Id and Row Key must be set.","Container Field Id and Row Key must be set."
"Wrong column format.","Wrong column format."
"To Enable, <a href=""%1"" target=""_blank"">Click here</a>, then open ""Default Cookie Settings"" section and set ""Yes"" next to the ""Cookie Restriction Mode"". Then save changes.","To Enable, <a href=""%1"" target=""_blank"">Click here</a>, then open ""Default Cookie Settings"" section and set ""Yes"" next to the ""Cookie Restriction Mode"". Then save changes."
"Delete Your Account","Delete Your Account"
"Download Your Data","Download Your Data"
"Welcome to the Privacy Center","Welcome to the Privacy Center"
"Log of Customer Consents","Log of Customer Consents"
"Log of Account Data Downloads","Log of Account Data Downloads"
"Account removal request has been canceled.","Account removal request has been canceled."
"The request you trying to cancel cannot be found.","The request you trying to cancel cannot be found."
"Log of Account Removal Requests","Log of Account Removal Requests"
"Specified revision version not found.","Specified revision version not found."
"Some error occurred while loading data. Please contact our technical support.","Some error occurred while loading data. Please contact our technical support."
"Bad Request. Required parameter 'history_id'  not specified.","Bad Request. Required parameter 'history_id'  not specified."
"Not found.","Not found."
"You %1 cookies from this site.","You %1 cookies from this site."
"Something went wrong.","Something went wrong."
"Invalid Data!","Invalid Data!"
"This account cannot be deleted because some orders are still pending. Please complete or cancel all orders before deleting your account.","This account cannot be deleted because some orders are still pending. Please complete or cancel all orders before deleting your account."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Something went wrong, please try again later!","Something went wrong, please try again later!"
"This customer [%1] has opened orders.","This customer [%1] has opened orders."
"Undefined location for specified consents.","Undefined location for specified consents."
"Undefined Customer ID for specified consents.","Undefined Customer ID for specified consents."
"Accept Cookies","Accept Cookies"
"Decline Cookies","Decline Cookies"
"%1 (%2)","%1 (%2)"
"Invalid consent action. Please provide valid log action.","Invalid consent action. Please provide valid log action."
"Error. Customer ID is missing.","Error. Customer ID is missing."
"The password you entered is incorrect. Please try again.","The password you entered is incorrect. Please try again."
"The GDPR Geo Targeting is disabled. You must install Plumrocket GeoIP Lookup extension to enable this feature.","The GDPR Geo Targeting is disabled. You must install Plumrocket GeoIP Lookup extension to enable this feature."
"The GDPR Geo Targeting is disabled. Click <a target=""_blank"" href=""%1"">here</a> to open Plumrocket GeoIP Lookup configuration and enable the GeoIP extension.","The GDPR Geo Targeting is disabled. Click <a target=""_blank"" href=""%1"">here</a> to open Plumrocket GeoIP Lookup configuration and enable the GeoIP extension."
"Please enable at least one GeoIP Lookup database in order to use GDPR Geo Targeting. Click <a target=""_blank"" href=""%1"">here</a> to open Plumrocket GeoIP Lookup configuration and enable the GeoIP databases.","Please enable at least one GeoIP Lookup database in order to use GDPR Geo Targeting. Click <a target=""_blank"" href=""%1"">here</a> to open Plumrocket GeoIP Lookup configuration and enable the GeoIP databases."
"Accept","Accept"
"Decline","Decline"
"Registration Page","Registration Page"
"Checkout Page","Checkout Page"
"Newsletter Subscription","Newsletter Subscription"
"Popup Notification","Popup Notification"
"----","----"
"Pending","Pending"
"Cancelled","Cancelled"
"Completed","Completed"
"Cookie Consent Notice","Cookie Consent Notice"
"Contact Us Page","Contact Us Page"
"Show to all site visitors","Show to all site visitors"
"Only visitors from EU countries","Only visitors from EU countries"
"Unknown","Unknown"
"By Region","By Region"
"By Country","By Country"
Pending,Pending
Cancelled,Cancelled
Completed,Completed
"Invalid specified recipient email address.","Invalid specified recipient email address."
"Invalid customer.","Invalid customer."
"Congratulations! You have reactivated your account.","Parabéns! Você reativou sua conta."
"Please provide your consent to all terms.","Please provide your consent to all terms."
"Please provide your consent to all terms before subscribing to our newsletter.","Please provide your consent to all terms before subscribing to our newsletter."
"Please provide your consent to all terms before submitting this form.","Please provide your consent to all terms before submitting this form."
"Please provide your consent to all terms before placing the order.","Please provide your consent to all terms before placing the order."
"<p>We’ve updated our Privacy Policy, which disclose what personal information we have, and how we use it in accordance with new privacy laws.</p>","<p>We’ve updated our Privacy Policy, which disclose what personal information we have, and how we use it in accordance with new privacy laws.</p>"
"By clicking on ""I Agree"" below you are agreeing to the updated <a href=""/privacy-policy-cookie-restriction-mode"">Privacy Policy</a>.","By clicking on ""I Agree"" below you are agreeing to the updated <a href=""/privacy-policy-cookie-restriction-mode"">Privacy Policy</a>."
"Are you sure you want to cancel this removal request?","Are you sure you want to cancel this removal request?"
"Export to:","Export to:"
"records found","records found"
selected,selected
"per page","per page"
"Previous page","Previous page"
"of %1","of %1"
"Next page","Next page"
"Geo Targeting","Geo Targeting"
"You’re about to start the process of deleting your account. It will be automatically removed within 24 hours after we receive your request.","You’re about to start the process of deleting your account. It will be automatically removed within 24 hours after we receive your request."
"What else you should know","What else you should know"
"You can restore your account within 24 hours by logging in before your account is deleted permanently.","You can restore your account within 24 hours by logging in before your account is deleted permanently."
"You won't have access to your account or any information you've added to your account after it's deleted from our store.","You won't have access to your account or any information you've added to your account after it's deleted from our store."
"You may want to <a href='%1'>download</a> a copy of your data before you close your account with us.","You may want to <a href='%1'>download</a> a copy of your data before you close your account with us."
"If you have pending orders, they have to be completed or canceled before your account can be deleted.","If you have pending orders, they have to be completed or canceled before your account can be deleted."
"Delete My Account","Delete My Account"
"Please re-enter your store password to delete your data.","Please re-enter your password to delete your data."
"Please re-enter your store password to download your data.","Please re-enter your password to download your data."
"* Required Fields","* Required Fields"
"Password","Password"
"Forgot your password?","Forgot your password?"
"Your account will be permanently deleted in 24 hours!","Your account will be permanently deleted in 24 hours!"
"If you change your mind you can reactivate by <a href=""%1"">logging in</a> before your account is deleted permanently.","If you change your mind you can reactivate by <a href=""%1"">logging in</a> before your account is deleted permanently."
"YOU ARE NOW LOGGED OUT","YOU ARE NOW LOGGED OUT"
"You have logged out and will be redirected to our homepage in <b>%1</b> seconds.","You have logged out and will be redirected to our homepage in <b>%1</b> seconds."
"Go to Homepage","Go to Homepage"
"Download an archive of your account data, order history, addresses, reviews and more.","Download an archive of your account data, order history, addresses, reviews and more."
"Your account data belongs to you, and you can download an archive at any time. Downloading your information is a password-protected process that only you will have access to.","Your account data belongs to you, and you can download an archive at any time. Downloading your information is a password-protected process that only you will have access to."
"You will receive your information in CSV file format, which could allow another service to more easily import it.","You will receive your information in CSV file format, which could allow another service to more easily import it."
"You should only download your data from a personal computer and not a public computer.","You should only download your data from a personal computer and not a public computer."
"This feature is currently not available on mobile.","This feature is currently not available on mobile."
"Download My Data","Download My Data"
"Our company is committed to protecting the privacy of our customers and strives to provide a safe user experience. Our Privacy Center is available to help you better understand how we handle the personal information that you give us when you use our website and services.","Our company is committed to protecting the privacy of our customers and strives to provide a safe user experience. Our Privacy Center is available to help you better understand how we handle the personal information that you give us when you use our website and services."
"Privacy Policy","Privacy Policy"
"We take your privacy extremely seriously. This policy describes what, why and how we collect and use your personal information, how we protect it and how you can contact us.","We take your privacy extremely seriously. This policy describes what, why and how we collect and use your personal information, how we protect it and how you can contact us."
"Cookie Policy","Cookie Policy"
"We use cookies and similar technologies for a wide range of purposes on our website to deliver our services and to improve your experience.","We use cookies and similar technologies for a wide range of purposes on our website to deliver our services and to improve your experience."
"Contact Data Protection Officer","Contact Data Protection Officer"
"If you have any questions or suggestions, please refer to our Data Protection Officer (DPO), who will be pleased to help you. ","If you have any questions or suggestions, please refer to our Data Protection Officer (DPO), who will be pleased to help you. "
"Email Preferences","Email Preferences"
"The key to any great relationship is communication. You can update your email preferences here.","The key to any great relationship is communication. You can update your email preferences here."
"Download your Data","Baixar meus dados"
"Download an archive of your account data (order history, addresses, reviews and more)","Download an archive of your account data (order history, addresses, reviews and more)"
"Delete your Account","Delete your Account"
"Deleting your account will permanently erase your customer data and access to all personal information from our site.","Deleting your account will permanently erase your customer data and access to all personal information from our site."
"Newsletter","Newsletter"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","Enter your email address"
"Subscribe","Subscribe"
"Print","Print"
"Go","Go"
"Don't show this popup again","Don't show this popup again"
Print,Print
"Yes, Save Changes","Yes, Save Changes"
"Delete Account","Delete Account"
"Download your data","Baixar meus dados"
"Download Now","Download Now"
"I agree","I agree"
"Remind me later","Remind me later"
"GDPR","GDPR"
"Consent Log","Consent Log"
"Downloads Log","Downloads Log"
"Data Removal Requests","Data Removal Requests"
"Configuration","Configuration"
"General","General"
"Enable Extension","Enable Extension"
"Serial Key","Serial Key"
"Privacy Center Dashboard","Privacy Center Dashboard"
"Privacy Policy Page","Privacy Policy Page"
"Cookie Policy Page","Cookie Policy Page"
"Data Protection Officer Email","Data Protection Officer Email"
"Account Removal Settings","Account Removal Settings"
"Anonymization Key","Anonymization Key"
"Consent Checkbox","Consent Checkbox"
"Add checkboxes (such as ""I agree to the Privacy Policy"" or ""I agree to the TOS"") in multiple locations of your store. You can also add consent checkboxes manually using our [developer's guide]. All customers who agreed to these policies can be tracked via [consent log].","Add checkboxes (such as ""I agree to the Privacy Policy"" or ""I agree to the TOS"") in multiple locations of your store. You can also add consent checkboxes manually using our [developer's guide]. All customers who agreed to these policies can be tracked via [consent log]."
"Cookie Consent Notice","Cookie Consent Notice"
"Enable Cookie Restriction Mode","Enable Cookie Restriction Mode"
"Notice Text","Notice Text"
"Button Label","Button Label"
"Google Tag Manager Settings","Google Tag Manager Settings"
"Enable","Enable"
"Container Id","Container Id"
"GDPR Email Settings","GDPR Email Settings"
"Sender Name","Sender Name"
"Sender Email","Sender Email"
"Download Confirmation Email Template","Download Confirmation Email Template"
"This email is sent when account data was successfully downloaded","This email is sent when account data was successfully downloaded"
"Removal Requested Email Template","Removal Requested Email Template"
"This email is sent when account is scheduled for removal","This email is sent when account is scheduled for removal"
"Consent ID","Consent ID"
"CMS Page","CMS Page"
"Network","Network"
"User Id","User Id"
"Account Photo Url","Account Photo Url"
"Additional Data","Additional Data"
"Alert Type","Alert Type"
"Product Name","Product Name"
"Product Sku","Product Sku"
"Add Date","Add Date"
"Order #","Order #"
"Name","Name"
"Sku","Sku"
"Options","Options"
"Created At","Created At"
"Store Name","Store Name"
"Shipping Method","Shipping Method"
"Payment Method","Payment Method"
"Billing Adddress","Billing Adddress"
"Shipping Adddress","Shipping Adddress"
"First Name","First Name"
"Last Name","Last Name"
"Middle Name/Initial","Middle Name/Initial"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Gender","Gender"
"Date of Birth","Date of Birth"
"Tax/VAT Number","Tax/VAT Number"
"Subscribed to Newsletter","Subscribed to Newsletter"
"Updated At","Updated At"
"Company","Company"
"Street Address","Street Address"
"City","City"
"Country","Country"
"State/Province","State/Province"
"Zip/Postal Code","Zip/Postal Code"
"Phone Number","Phone Number"
"Fax","Fax"
"VAT Number","VAT Number"
"Product (SKU)","Product (SKU)"
"Nickname","Nickname"
"Summary","Summary"
"Review","Review"
"Quantity","Quantity"
"Description","Description"
"Added At","Added At"
"Consent Checkboxes","Consent Checkboxes"
"Consent Checkbox","Consent Checkbox"
"Enable Cookie Restriction Mode","Enable Cookie Restriction Mode"
"Notice Text","Notice Text"
"Accept Button Label","Accept Button Label"
"Decline Button Label","Decline Button Label"
"Show cookie notice only to visitors from the selected list of countries.","Show cookie notice only to visitors from the selected list of countries."
"Google Tag Manager Settings","Google Tag Manager Settings"
Enable,Enable
"Container Id","Container Id"
"Revisions","Revisions"
"1.0","1.0"
"Popup Content","Popup Content"
"Revision History","Revision History"
"ID","ID"
"Customer ID","Customer ID"
"Customer Name","Customer Name"
"Website","Website"
"Consent Label","Consent Label"
"Date of Consent","Date of Consent"
"IP","IP"
"Date","Date"
"Request Date","Request Date"
"Cancellation Date","Cancellation Date"
"Cancelled By","Cancelled By"
"Removal Date","Removal Date"
"Status","Status"
"Revision ID","Revision ID"
"Updated By(User ID)","Updated By(User ID)"
"The GDPR Geo Targeting are disabled. You must install Plumrocket GeoIP Lookup extension to enable this feature.","The GDPR Geo Targeting are disabled. You must install Plumrocket GeoIP Lookup extension to enable this feature."
"The GDPR Geo Targeting are disabled. Click <a target=""_blank"" href=""%1"">here</a> to open Plumrocket GeoIP Lookup configuration and enable the GeoIP extension.","The GDPR Geo Targeting are disabled. Click <a target=""_blank"" href=""%1"">here</a> to open Plumrocket GeoIP Lookup configuration and enable the GeoIP extension."
"Please enable at least one GeoIP Lookup database in order to use GDPR Geo Targeting. Click <a target=""_blank"" href=""%1"">here</a> to open Plumrocket GeoIP Lookup configuration and enable the GeoIP databases.","Please enable at least one GeoIP Lookup database in order to use GDPR Geo Targeting. Click <a target=""_blank"" href=""%1"">here</a> to open Plumrocket GeoIP Lookup configuration and enable the GeoIP databases."
"You can select one or multiple U.S. states. For example, select ""California"" for CCPA law.","You can select one or multiple U.S. states. For example, select ""California"" for CCPA law."
"U.S. states","U.S. states"
"You deleted the checkbox.","You deleted the checkbox."
"We can't find a checkbox to delete.","We can't find a checkbox to delete."
"My Consents","My Consents"
"These consents are required for the regular use of the website. You can withdraw your consent by deleting your account.","These consents are required for the regular use of the website. You can withdraw your consent by deleting your account."
"version","version"
"Review the list of consents given at our store. Update your consents and withdraw at any time.", "Review the list of consents given at our store. Update your consents and withdraw at any time."
